team,conference,avg_point_sc_home,avg_point_sc_vis,avg_point_sc_tot,avg_point_allowed_home,avg_point_allowed_vis,avg_point_allowed_tot,avg_sc_diff_home,avg_sc_diff_vis,avg_sc_diff_tot,win_perc_home,win_perc_vis,win_perc_tot,total_games,tournament
Iona,Metro Atlantic Athletic,78.3157894736842,71,75.21212121212122,68.10526315789474,69.28571428571429,68.60606060606061,10.210526315789474,1.7142857142857142,6.606060606060606,0.8947368421052632,0.5714285714285714,0.7576,33,0
Iowa,Big Ten,87.27272727272727,76.78571428571429,83.19444444444444,69.54545454545455,73.71428571428571,71.16666666666667,17.727272727272727,3.0714285714285716,12.027777777777779,0.8181818181818182,0.5714285714285714,0.7222,36,1
Iowa St.,Big 12,67.94736842105263,62.8125,65.6,59.05263157894737,66.6875,62.542857142857144,8.894736842105264,-3.875,3.057142857142857,0.7368421052631579,0.5,0.6286,35,1
Iowa Wesleyan,NA,NA,71,71,NA,97,97,NA,-26,-26,NA,0,0,1,0
IUPUI,Horizon League,52.6,52.285714285714285,52.44827586206897,65.06666666666666,69.28571428571429,67.10344827586206,-12.466666666666667,-17,-14.655172413793103,0.13333333333333333,0.07142857142857142,0.10339999999999999,29,0
Jackson St.,Southwest Athletic,67.55555555555556,58.142857142857146,60.96666666666667,65.55555555555556,65.42857142857143,65.46666666666667,2,-7.285714285714286,-4.5,0.6666666666666666,0.23809523809523808,0.3667,30,0
Jacksonville,Atlantic Sun,74.73333333333333,60,67.12903225806451,55.13333333333333,63.25,59.32258064516129,19.6,-3.25,7.806451612903226,1,0.375,0.6774,31,0
Jacksonville St.,Atlantic Sun,75.76470588235294,71,73.53125,66.70588235294117,67.8,67.21875,9.058823529411764,3.2,6.3125,0.7058823529411765,0.6,0.6562,32,1
James Madison,Colonial Athletic Association,77.1875,72.53846153846153,75.10344827586206,69.6875,77.53846153846153,73.20689655172414,7.5,-5,1.896551724137931,0.5625,0.46153846153846156,0.5172,29,0
Jarvis Christian,NA,NA,57.5,57.5,NA,90,90,NA,-32.5,-32.5,NA,0,0,4,0
John Jay,NA,NA,51,51,NA,102,102,NA,-51,-51,NA,0,0,1,0
Johnson & Wales NC,NA,NA,67.5,67.5,NA,112,112,NA,-44.5,-44.5,NA,0,0,2,0
Johnson & Wales RI,NA,NA,47,47,NA,98,98,NA,-51,-51,NA,0,0,1,0
Johnson FL,NA,NA,49.5,49.5,NA,96,96,NA,-46.5,-46.5,NA,0,0,2,0
Kansas,Big 12,79.07142857142857,76.25,78.225,65.32142857142857,71.75,67.25,13.75,4.5,10.975,0.9285714285714286,0.6666666666666666,0.85,40,1
Kansas Christian,NA,NA,36,36,NA,99,99,NA,-63,-63,NA,0,0,1,0
Kansas St.,Big 12,69.42105263157895,68.33333333333333,69,65.10526315789474,71.16666666666667,67.45161290322581,4.315789473684211,-2.8333333333333335,1.5483870967741935,0.47368421052631576,0.4166666666666667,0.45159999999999995,31,0
Kean,NA,NA,59,59,NA,100,100,NA,-41,-41,NA,0,0,1,0
Keene St.,NA,NA,54,54,NA,92,92,NA,-38,-38,NA,0,0,1,0
Kennesaw St.,Atlantic Sun,78.8125,70.53333333333333,74.80645161290323,66.3125,76.33333333333333,71.16129032258064,12.5,-5.8,3.6451612903225805,0.625,0.2,0.4194,31,0
Kent St.,Mid-American,74.72222222222223,67.375,71.26470588235294,63.888888888888886,66.6875,65.20588235294117,10.833333333333334,0.6875,6.0588235294117645,0.7222222222222222,0.625,0.6765000000000001,34,0
Kentucky,Southeastern,85.42857142857143,69.76923076923077,79.44117647058823,65.38095238095238,68.46153846153847,66.55882352941177,20.047619047619047,1.3076923076923077,12.882352941176471,0.9523809523809523,0.46153846153846156,0.7646999999999999,34,1
Kentucky Christian,NA,NA,64.66666666666667,64.66666666666667,NA,82.33333333333333,82.33333333333333,NA,-17.666666666666668,-17.666666666666668,NA,0,0,3,0
Keuka,NA,NA,64,64,NA,122,122,NA,-58,-58,NA,0,0,1,0
Keystone,NA,NA,35,35,NA,97,97,NA,-62,-62,NA,0,0,1,0
Knox,NA,NA,37,37,NA,75,75,NA,-38,-38,NA,0,0,1,0
La Salle,Atlantic 10,67.05882352941177,68.07692307692308,67.5,68.58823529411765,75.38461538461539,71.53333333333333,-1.5294117647058822,-7.3076923076923075,-4.033333333333333,0.5294117647058824,0.15384615384615385,0.3667,30,0
La Sierra,NA,NA,54,54,NA,72,72,NA,-18,-18,NA,0,0,1,0
La Verne,NA,NA,40,40,NA,99.66666666666667,99.66666666666667,NA,-59.666666666666664,-59.666666666666664,NA,0,0,3,0
Lafayette,Patriot League,72.6,63,67.8,73.53333333333333,72.13333333333334,72.83333333333333,-0.9333333333333333,-9.133333333333333,-5.033333333333333,0.4,0.26666666666666666,0.3333,30,0
LaGrange,NA,NA,80,80,NA,110,110,NA,-30,-30,NA,0,0,1,0
Lake Erie,NA,NA,53,53,NA,86,86,NA,-33,-33,NA,0,0,1,0
Lamar,Western Athletic,64.18181818181819,59.55555555555556,61.310344827586206,68.72727272727273,75.55555555555556,72.96551724137932,-4.545454545454546,-16,-11.655172413793103,0.18181818181818182,0,0.069,29,0
Lancaster Bible,NA,NA,45,45,NA,91,91,NA,-46,-46,NA,0,0,2,0
Lees McRae,NA,NA,74,74,NA,92,92,NA,-18,-18,NA,0,0,1,0
Lehigh,Patriot League,72.75,64.125,68.4375,72.25,70.5,71.375,0.5,-6.375,-2.9375,0.5625,0.25,0.40619999999999995,32,0
LeMoyne Owen,NA,NA,70,70,NA,95,95,NA,-25,-25,NA,0,0,1,0
Lenoir Rhyne,NA,NA,66,66,NA,90,90,NA,-24,-24,NA,0,0,1,0
LeTourneau,NA,NA,50.5,50.5,NA,94.5,94.5,NA,-44,-44,NA,0,0,2,0
Liberty,Atlantic Sun,76.11764705882354,70.4375,73.36363636363636,58.88235294117647,68.3125,63.45454545454545,17.235294117647058,2.125,9.909090909090908,0.7647058823529411,0.5625,0.6667000000000001,33,0
Life,NA,NA,50,50,NA,78,78,NA,-28,-28,NA,0,0,1,0
Life Pacific,NA,NA,55.333333333333336,55.333333333333336,NA,84.66666666666667,84.66666666666667,NA,-29.333333333333332,-29.333333333333332,NA,0,0,3,0
Lincoln CA,NA,NA,54,54,NA,90,90,NA,-36,-36,NA,0,0,1,0
Lindsey Wilson,NA,NA,68,68,NA,86,86,NA,-18,-18,NA,0,0,1,0
Lipscomb,Atlantic Sun,79.0625,71.22222222222223,74.91176470588235,75.5,79.22222222222223,77.47058823529412,3.5625,-8,-2.5588235294117645,0.625,0.2777777777777778,0.4412,34,0
Little Rock,Sun Belt,71.64285714285714,61.785714285714285,66.71428571428571,70.21428571428571,76,73.10714285714286,1.4285714285714286,-14.214285714285714,-6.392857142857143,0.5,0.14285714285714285,0.3214,28,0
LIU,Northeast,85.76923076923077,66.47058823529412,74.83333333333333,70.46153846153847,75.76470588235294,73.46666666666667,15.307692307692308,-9.294117647058824,1.3666666666666667,0.9230769230769231,0.23529411764705882,0.5333,30,0
Long Beach St.,Big West,74.55,72.76923076923077,73.84848484848484,70.3,77.15384615384616,73,4.25,-4.384615384615385,0.8484848484848485,0.7,0.46153846153846156,0.6061,33,0
Longwood,Big South,80.85,67.92307692307692,75.75757575757575,62.2,71.15384615384616,65.72727272727273,18.65,-3.230769230769231,10.030303030303031,0.95,0.5384615384615384,0.7879,33,1
Louisiana,Sun Belt,74.64285714285714,68.11764705882354,71.06451612903226,69.71428571428571,69.11764705882354,69.38709677419355,4.928571428571429,-1,1.6774193548387097,0.5714285714285714,0.47058823529411764,0.5161,31,0
Louisiana College,NA,NA,64.5,64.5,NA,80,80,NA,-15.5,-15.5,NA,0,0,2,0
Louisiana Monroe,Sun Belt,78.8125,68.0625,73.4375,68.8125,79.375,74.09375,10,-11.3125,-0.65625,0.5625,0.3125,0.4375,32,0
Louisiana Tech,Conference USA,79.70588235294117,70.76470588235294,75.23529411764706,65.17647058823529,70.82352941176471,68,14.529411764705882,-0.058823529411764705,7.235294117647059,0.8235294117647058,0.5882352941176471,0.7059000000000001,34,0
Louisville,Atlantic Coast,70.66666666666667,63,67.3125,68.88888888888889,71.64285714285714,70.09375,1.7777777777777777,-8.642857142857142,-2.78125,0.5555555555555556,0.21428571428571427,0.40619999999999995,32,0
Loyola Chicago,Missouri Valley,79.6875,66.3529411764706,72.81818181818181,61.625,61.35294117647059,61.484848484848484,18.0625,5,11.333333333333334,0.8125,0.7058823529411765,0.7576,33,1
Loyola Marymount,West Coast,72.46666666666667,65.92857142857143,69.3103448275862,73.26666666666667,74.92857142857143,74.06896551724138,-0.8,-9,-4.758620689655173,0.4666666666666667,0.2857142857142857,0.37929999999999997,29,0
Loyola MD,Patriot League,67.2,65.06666666666666,66.13333333333334,60.4,70.93333333333334,65.66666666666667,6.8,-5.866666666666666,0.4666666666666667,0.7333333333333333,0.2,0.4667,30,0
LSU,Southeastern,76.25,67.28571428571429,72.55882352941177,59.65,68.78571428571429,63.411764705882355,16.6,-1.5,9.147058823529411,0.85,0.35714285714285715,0.6470999999999999,34,1
LSU Alexandria,NA,NA,73,73,NA,82,82,NA,-9,-9,NA,0,0,1,0
LSU Shreveport,NA,NA,52.5,52.5,NA,78.5,78.5,NA,-26,-26,NA,0,0,2,0
Lyon,NA,NA,66,66,NA,88,88,NA,-22,-22,NA,0,0,1,0
Maine,America East,64,61,62.44827586206897,65.42857142857143,76.46666666666667,71.13793103448276,-1.4285714285714286,-15.466666666666667,-8.689655172413794,0.35714285714285715,0.06666666666666667,0.2069,29,0
Maine Farmington,NA,NA,52,52,NA,71,71,NA,-19,-19,NA,0,0,1,0
Maine Fort Kent,NA,NA,39.5,39.5,NA,78.5,78.5,NA,-39,-39,NA,0,0,2,0
Manhattan,Metro Atlantic Athletic,71.25,70.42857142857143,70.86666666666666,68.75,77.07142857142857,72.63333333333334,2.5,-6.642857142857143,-1.7666666666666666,0.625,0.35714285714285715,0.5,30,0
Manhattanville,NA,NA,42,42,NA,99,99,NA,-57,-57,NA,0,0,1,0
Marist,Metro Atlantic Athletic,69,68.5625,68.76666666666667,66.78571428571429,69.375,68.16666666666667,2.2142857142857144,-0.8125,0.6,0.5,0.4375,0.4667,30,0
Marquette,Big East,74.94117647058823,73,74.03125,68.41176470588235,75.26666666666667,71.625,6.529411764705882,-2.2666666666666666,2.40625,0.7647058823529411,0.4,0.5938,32,1
Marshall,Conference USA,79,70,74.76470588235294,74.77777777777777,77.125,75.88235294117646,4.222222222222222,-7.125,-1.1176470588235294,0.5,0.25,0.3824,34,0
Mary Baldwin,NA,NA,64,64,NA,98.5,98.5,NA,-34.5,-34.5,NA,0,0,2,0
Mary Hardin Baylor,NA,NA,69,69,NA,90,90,NA,-21,-21,NA,0,0,2,0
Maryland,Big Ten,70.6842105263158,71.3076923076923,70.9375,67.84210526315789,74.92307692307692,70.71875,2.8421052631578947,-3.6153846153846154,0.21875,0.5789473684210527,0.3076923076923077,0.46880000000000005,32,0
Maryland Eastern Shore,Mid-Eastern Athletic,73.6,61.294117647058826,65.85185185185185,61.7,69.11764705882354,66.37037037037037,11.9,-7.823529411764706,-0.5185185185185185,0.6,0.29411764705882354,0.40740000000000004,27,0
Maryville MO,NA,NA,55,55,NA,75,75,NA,-20,-20,NA,0,0,1,0
Maryville TN,NA,NA,78,78,NA,99,99,NA,-21,-21,NA,0,0,1,0
Mass College of Libera,NA,NA,45,45,NA,109,109,NA,-64,-64,NA,0,0,1,0
Massachusetts,Atlantic 10,77.9375,73.4375,75.6875,75.25,80.875,78.0625,2.6875,-7.4375,-2.375,0.6875,0.25,0.46880000000000005,32,0
McMurry,NA,NA,54,54,NA,89,89,NA,-35,-35,NA,0,0,1,0
McNeese St.,Southland,87.46153846153847,72.1,78.15151515151516,72,80.95,77.42424242424242,15.461538461538462,-8.85,0.7272727272727273,0.5384615384615384,0.2,0.3333,33,0
Medgar Evers,NA,NA,53,53,NA,111.5,111.5,NA,-58.5,-58.5,NA,0,0,2,0
Memphis,American Athletic,78.82352941176471,71.25,75.15151515151516,66.47058823529412,70.3125,68.33333333333333,12.352941176470589,0.9375,6.818181818181818,0.8235294117647058,0.5,0.6667000000000001,33,1
Menlo,NA,NA,53,53,NA,67,67,NA,-14,-14,NA,0,0,1,0
Mercer,Southern,72.88235294117646,67.875,70.45454545454545,67.23529411764706,74.0625,70.54545454545455,5.647058823529412,-6.1875,-0.09090909090909091,0.7058823529411765,0.25,0.48479999999999995,33,0
Merrimack,Northeast,63.785714285714285,59.375,61.43333333333333,63.07142857142857,65.5,64.36666666666666,0.7142857142857143,-6.125,-2.933333333333333,0.5,0.4375,0.4667,30,0
Methodist,NA,NA,42,42,NA,102,102,NA,-60,-60,NA,0,0,1,0
Miami FL,Atlantic Coast,77.27777777777777,70.78947368421052,73.94594594594595,71.27777777777777,69.47368421052632,70.35135135135135,6,1.3157894736842106,3.5945945945945947,0.6666666666666666,0.7368421052631579,0.7027,37,1
Miami Hamilton,NA,NA,66,66,NA,94,94,NA,-28,-28,NA,0,0,1,0
Miami OH,Mid-American,76.94117647058823,73.33333333333333,75.25,69.58823529411765,77.86666666666666,73.46875,7.352941176470588,-4.533333333333333,1.78125,0.5294117647058824,0.3333333333333333,0.4375,32,0
Michigan,Big Ten,74.61111111111111,70.4375,72.6470588235294,68.27777777777777,70.6875,69.41176470588235,6.333333333333333,-0.25,3.235294117647059,0.6111111111111112,0.5,0.5588000000000001,34,1
Michigan Dearborn,NA,NA,57,57,NA,100.66666666666667,100.66666666666667,NA,-43.666666666666664,-43.666666666666664,NA,0,0,3,0
Michigan St.,Big Ten,75.77777777777777,68.72222222222223,72.25,67.22222222222223,70.83333333333333,69.02777777777777,8.555555555555555,-2.111111111111111,3.2222222222222223,0.7777777777777778,0.5,0.6389,36,1
Mid Atlantic Christian,NA,NA,53.666666666666664,53.666666666666664,NA,94,94,NA,-40.333333333333336,-40.333333333333336,NA,0,0,3,0
Middle Tennessee,Conference USA,76.95238095238095,72.1875,74.89189189189189,62.476190476190474,73.375,67.1891891891892,14.476190476190476,-1.1875,7.702702702702703,0.9047619047619048,0.4375,0.7027,37,0
Midway,NA,NA,52.333333333333336,52.333333333333336,NA,105.66666666666667,105.66666666666667,NA,-53.333333333333336,-53.333333333333336,NA,0,0,3,0
Millersville,NA,NA,71,71,NA,77,77,NA,-6,-6,NA,0,0,1,0
Milligan,NA,NA,54,54,NA,95,95,NA,-41,-41,NA,0,0,4,0
Millsaps,NA,NA,29,29,NA,103,103,NA,-74,-74,NA,0,0,1,0
Milwaukee,Horizon League,66.29411764705883,63.06666666666667,64.78125,69.3529411764706,72.33333333333333,70.75,-3.0588235294117645,-9.266666666666667,-5.96875,0.35294117647058826,0.26666666666666666,0.3125,32,0
Minnesota,Big Ten,70.1875,63.357142857142854,67,67.9375,70.64285714285714,69.2,2.25,-7.285714285714286,-2.2,0.5625,0.2857142857142857,0.43329999999999996,30,0
Minnesota Duluth,NA,NA,62,62,NA,98,98,NA,-36,-36,NA,0,0,1,0
Minnesota Morris,NA,NA,47,47,NA,112,112,NA,-65,-65,NA,0,0,1,0
Mississippi,Southeastern,69.19047619047619,66.0909090909091,68.125,67.71428571428571,70.45454545454545,68.65625,1.4761904761904763,-4.363636363636363,-0.53125,0.47619047619047616,0.2727272727272727,0.40619999999999995,32,0
Mississippi College,NA,NA,58,58,NA,83,83,NA,-25,-25,NA,0,0,1,0
Mississippi St.,Southeastern,74.57142857142857,63.84615384615385,70.47058823529412,64.19047619047619,69.53846153846153,66.23529411764706,10.380952380952381,-5.6923076923076925,4.235294117647059,0.7619047619047619,0.15384615384615385,0.5294,34,0
Mississippi Valley St.,Southwest Athletic,68.72727272727273,66.23529411764706,67.21428571428571,76.63636363636364,87.05882352941177,82.96428571428571,-7.909090909090909,-20.823529411764707,-15.75,0,0.11764705882352941,0.07139999999999999,28,0
Missouri,Southeastern,68.10526315789474,61.857142857142854,65.45454545454545,67.26315789473684,74.78571428571429,70.45454545454545,0.8421052631578947,-12.928571428571429,-5,0.47368421052631576,0.21428571428571427,0.3636,33,0
Missouri Baptist,NA,NA,63,63,NA,71,71,NA,-8,-8,NA,0,0,1,0
Missouri S&T,NA,NA,66,66,NA,92,92,NA,-26,-26,NA,0,0,1,0
Missouri St.,Missouri Valley,79,74.85714285714286,77.29411764705883,68.1,70,68.88235294117646,10.9,4.857142857142857,8.411764705882353,0.7,0.6428571428571429,0.6765000000000001,34,0
MIT,NA,NA,52,52,NA,98,98,NA,-46,-46,NA,0,0,1,0
Mobile,NA,NA,45,45,NA,78,78,NA,-33,-33,NA,0,0,1,0
Molloy,NA,NA,49,49,NA,87,87,NA,-38,-38,NA,0,0,1,0
Monmouth,Metro Atlantic Athletic,70.875,66.61111111111111,68.61764705882354,68.1875,66.55555555555556,67.32352941176471,2.6875,0.05555555555555555,1.2941176470588236,0.6875,0.5555555555555556,0.6175999999999999,34,0
Montana,Big Sky,77.41176470588235,66.26666666666667,72.1875,60,74.73333333333333,66.90625,17.41176470588235,-8.466666666666667,5.28125,0.8235294117647058,0.26666666666666666,0.5625,32,0
Montana St.,Big Sky,75.63157894736842,77.625,76.54285714285714,64.42105263157895,75.0625,69.28571428571429,11.210526315789474,2.5625,7.257142857142857,0.9473684210526315,0.5625,0.7714,35,1
Montana Tech,NA,NA,57,57,NA,88,88,NA,-31,-31,NA,0,0,1,0
Montreat,NA,NA,60,60,NA,117,117,NA,-57,-57,NA,0,0,1,0
Moravian,NA,NA,55,55,NA,94,94,NA,-39,-39,NA,0,0,1,0
Morehead St.,Ohio Valley,73.8125,66.55555555555556,69.97058823529412,61.3125,65.38888888888889,63.470588235294116,12.5,1.1666666666666667,6.5,0.875,0.5,0.6765000000000001,34,0
Morehouse,NA,NA,70,70,NA,86,86,NA,-16,-16,NA,0,0,1,0
Morgan St.,Mid-Eastern Athletic,87.33333333333333,65.75,75,68.08333333333333,75.5625,72.35714285714286,19.25,-9.8125,2.642857142857143,0.75,0.25,0.4643,28,0
Morris,NA,NA,67,67,NA,105,105,NA,-38,-38,NA,0,0,4,0
Mount Marty,NA,NA,53,53,NA,82,82,NA,-29,-29,NA,0,0,1,0
Mount Olive,NA,NA,55,55,NA,85,85,NA,-30,-30,NA,0,0,1,0
Mount Saint Vincent,NA,NA,57,57,NA,91,91,NA,-34,-34,NA,0,0,2,0
Mount St. Mary's,Northeast,71.3076923076923,62.1764705882353,66.13333333333334,60.53846153846154,68.88235294117646,65.26666666666667,10.76923076923077,-6.705882352941177,0.8666666666666667,0.6153846153846154,0.35294117647058826,0.4667,30,0
Multnomah,NA,NA,56,56,NA,95,95,NA,-39,-39,NA,0,0,1,0
Murray St.,Ohio Valley,84.0952380952381,71.07692307692308,79.11764705882354,64.42857142857143,61.30769230769231,63.23529411764706,19.666666666666668,9.76923076923077,15.882352941176471,0.9047619047619048,0.9230769230769231,0.9118,34,1
N.C. State,Big Sky,72.63157894736842,73.53846153846153,73,74.21052631578948,77.61538461538461,75.59375,-1.5789473684210527,-4.076923076923077,-2.59375,0.3684210526315789,0.3076923076923077,0.34380000000000005,32,0
Navy,Patriot League,65.73333333333333,64.29411764705883,64.96875,61.2,59.1764705882353,60.125,4.533333333333333,5.117647058823529,4.84375,0.6,0.7058823529411765,0.6562,32,0
NC Wesleyan,NA,NA,61,61,NA,80,80,NA,-19,-19,NA,0,0,1,0
Nebraska,Big Ten,73.26315789473684,73.3076923076923,73.28125,75.47368421052632,83,78.53125,-2.210526315789474,-9.692307692307692,-5.25,0.3684210526315789,0.23076923076923078,0.3125,32,0
Nebraska Omaha,Summit League,75.85714285714286,64.125,69.6,80.21428571428571,86.375,83.5,-4.357142857142857,-22.25,-13.9,0.35714285714285715,0,0.16670000000000001,30,0
Neumann,NA,NA,74,74,NA,103,103,NA,-29,-29,NA,0,0,1,0
Nevada,Mountain West,75.23529411764706,69.28571428571429,72.54838709677419,71.94117647058823,75.78571428571429,73.6774193548387,3.2941176470588234,-6.5,-1.1290322580645162,0.5882352941176471,0.21428571428571427,0.4194,31,0
New England,NA,NA,50,50,NA,86,86,NA,-36,-36,NA,0,0,1,0
New Hampshire,America East,70.85714285714286,66.64285714285714,68.75,62.285714285714285,67.64285714285714,64.96428571428571,8.571428571428571,-1,3.7857142857142856,0.7142857142857143,0.35714285714285715,0.5357,28,0
New Mexico,Mountain West,77.11111111111111,70.57142857142857,74.25,71.27777777777777,80.57142857142857,75.34375,5.833333333333333,-10,-1.09375,0.6111111111111112,0.14285714285714285,0.40619999999999995,32,0
New Mexico Highlands,NA,NA,67,67,NA,94,94,NA,-27,-27,NA,0,0,1,0
New Mexico St.,Western Athletic,76.33333333333333,68.125,72.47058823529412,63.388888888888886,66,64.61764705882354,12.944444444444445,2.125,7.852941176470588,0.8888888888888888,0.6875,0.7940999999999999,34,1
New Orleans,Southland,81.75,72.5625,77.15625,67.4375,81.625,74.53125,14.3125,-9.0625,2.625,0.875,0.25,0.5625,32,0
New Paltz,NA,NA,52,52,NA,83,83,NA,-31,-31,NA,0,0,1,0
Niagara,Metro Atlantic Athletic,73.64285714285714,61.9375,67.4,64.35714285714286,66.5,65.5,9.285714285714286,-4.5625,1.9,0.6428571428571429,0.3125,0.4667,30,0
Nicholls St.,Southland,85.375,72,78.48484848484848,69.75,72.70588235294117,71.27272727272727,15.625,-0.7058823529411765,7.212121212121212,0.8125,0.47058823529411764,0.6364,33,0
NJIT,America East,59.714285714285715,66,62.96551724137931,65.42857142857143,74.26666666666667,70,-5.714285714285714,-8.266666666666667,-7.0344827586206895,0.42857142857142855,0.3333333333333333,0.37929999999999997,29,0
Norfolk St.,Mid-Eastern Athletic,80.78571428571429,68.88235294117646,74.25806451612904,57.857142857142854,69.82352941176471,64.41935483870968,22.928571428571427,-0.9411764705882353,9.838709677419354,1,0.5882352941176471,0.7742,31,1
North Alabama,Atlantic Sun,73.76923076923077,66,69.36666666666666,61.38461538461539,74,68.53333333333333,12.384615384615385,-8,0.8333333333333334,0.46153846153846156,0.17647058823529413,0.3,30,0
North Carolina,Atlantic Coast,76.68181818181819,79.47058823529412,77.8974358974359,65.68181818181819,78.52941176470588,71.28205128205128,11,0.9411764705882353,6.615384615384615,0.8181818181818182,0.6470588235294118,0.7436,39,1
North Carolina A&T,Big South,70.84615384615384,65.57894736842105,67.71875,65.92307692307692,73.3157894736842,70.3125,4.923076923076923,-7.7368421052631575,-2.59375,0.6153846153846154,0.21052631578947367,0.375,32,0
North Carolina Central,Mid-Eastern Athletic,82,66.11111111111111,72.7741935483871,62.84615384615385,72.38888888888889,68.38709677419355,19.153846153846153,-6.277777777777778,4.387096774193548,0.7692307692307693,0.3333333333333333,0.5161,31,0
North Central MN,NA,NA,55,55,NA,103.5,103.5,NA,-48.5,-48.5,NA,0,0,2,0
North Dakota,Summit League,72.47058823529412,67.57142857142857,70.25806451612904,75.82352941176471,82.5,78.83870967741936,-3.3529411764705883,-14.928571428571429,-8.580645161290322,0.29411764705882354,0.07142857142857142,0.1935,31,0
North Dakota St.,Summit League,80.05882352941177,69.25,74.81818181818181,66.94117647058823,70.5625,68.6969696969697,13.117647058823529,-1.3125,6.121212121212121,0.8235294117647058,0.5625,0.6970000000000001,33,0
North Florida,Atlantic Sun,78.75,62.05263157894737,68.51612903225806,64.08333333333333,75.63157894736842,71.16129032258064,14.666666666666666,-13.578947368421053,-2.6451612903225805,0.5833333333333334,0.21052631578947367,0.35479999999999995,31,0
North Greenville,NA,NA,66,66,NA,118,118,NA,-52,-52,NA,0,0,1,0
North Park,NA,NA,71,71,NA,76,76,NA,-5,-5,NA,0,0,1,0
North Texas,Conference USA,66.95,62,65.09375,54.75,57.333333333333336,55.71875,12.2,4.666666666666667,9.375,0.75,0.8333333333333334,0.7812,32,0
Northeastern,Colonial Athletic Association,65.33333333333333,63.3125,64.29032258064517,67.33333333333333,70.75,69.09677419354838,-2,-7.4375,-4.806451612903226,0.4,0.1875,0.2903,31,0
Northern Arizona,Big Sky,69.875,65.1875,67.53125,71.5625,75.125,73.34375,-1.6875,-9.9375,-5.8125,0.3125,0.25,0.2812,32,0
Northern Colorado,Big Sky,82.29411764705883,74.42857142857143,77.94736842105263,76.52941176470588,77.28571428571429,76.94736842105263,5.764705882352941,-2.857142857142857,1,0.7647058823529411,0.42857142857142855,0.5789,38,0
Northern Illinois,Mid-American,66.25,62.666666666666664,64.1,72.75,70.72222222222223,71.53333333333333,-6.5,-8.055555555555555,-7.433333333333334,0.25,0.3333333333333333,0.3,30,0
Northern Iowa,Missouri Valley,74.05882352941177,74.93333333333334,74.46875,67.05882352941177,75.53333333333333,71.03125,7,-0.6,3.4375,0.6470588235294118,0.6,0.625,32,0
Northern Kentucky,Horizon League,74,65.26666666666667,69.90625,65.29411764705883,64.86666666666666,65.09375,8.705882352941176,0.4,4.8125,0.7058823529411765,0.5333333333333333,0.625,32,0
Northern New Mexico,NA,NA,53.25,53.25,NA,87.25,87.25,NA,-34,-34,NA,0,0,4,0
Northern Vermont,NA,NA,74,74,NA,114,114,NA,-40,-40,NA,0,0,1,0
Northland,NA,NA,50.5,50.5,NA,111.5,111.5,NA,-61,-61,NA,0,0,2,0
Northwest,NA,NA,68,68,NA,100,100,NA,-32,-32,NA,0,0,1,0
Northwestern,Big Ten,75.5,69.46153846153847,72.96774193548387,65,76.76923076923077,69.93548387096774,10.5,-7.3076923076923075,3.032258064516129,0.6666666666666666,0.23076923076923078,0.4839,31,0
Northwestern Ohio,NA,NA,36,36,NA,106,106,NA,-70,-70,NA,0,0,1,0
Northwestern St.,Southland,78.85714285714286,69.94444444444444,73.84375,74.14285714285714,85.27777777777777,80.40625,4.714285714285714,-15.333333333333334,-6.5625,0.42857142857142855,0.16666666666666666,0.2812,32,0
Northwood MI,NA,NA,57,57,NA,79,79,NA,-22,-22,NA,0,0,1,0
Notre Dame,Atlantic Coast,74.3157894736842,70.5,72.57142857142857,64.89473684210526,69.75,67.11428571428571,9.421052631578947,0.75,5.457142857142857,0.7894736842105263,0.5625,0.6857,35,1
Nyack,NA,NA,57.5,57.5,NA,100,100,NA,-42.5,-42.5,NA,0,0,2,0
Oakland,Horizon League,79.86666666666666,69.52941176470588,74.375,66.6,70.29411764705883,68.5625,13.266666666666667,-0.7647058823529411,5.8125,0.7333333333333333,0.5294117647058824,0.625,32,0
Oakland City,NA,NA,69,69,NA,78,78,NA,-9,-9,NA,0,0,2,0
Oakwood,NA,NA,59,59,NA,107,107,NA,-48,-48,NA,0,0,2,0
Oberlin,NA,NA,38,38,NA,84,84,NA,-46,-46,NA,0,0,1,0
Ohio,Mid-American,80.35,65.6,74.02857142857142,71.15,63.666666666666664,67.94285714285714,9.2,1.9333333333333333,6.085714285714285,0.85,0.5333333333333333,0.7143,35,0
Ohio Christian,NA,NA,40,40,NA,108,108,NA,-68,-68,NA,0,0,1,0
Ohio St.,Big Ten,74.61111111111111,70.42857142857143,72.78125,64.61111111111111,71.64285714285714,67.6875,10,-1.2142857142857142,5.09375,0.7777777777777778,0.42857142857142855,0.625,32,1
Ohio Valley,NA,NA,74,74,NA,103,103,NA,-29,-29,NA,0,0,1,0
Ohio Wesleyan,NA,NA,60,60,NA,101,101,NA,-41,-41,NA,0,0,1,0
Oklahoma,Big 12,71.85,65.33333333333333,69.05714285714286,62.5,68.4,65.02857142857142,9.35,-3.066666666666667,4.0285714285714285,0.65,0.4,0.5428999999999999,35,0
Oklahoma Christian,NA,NA,53,53,NA,84,84,NA,-31,-31,NA,0,0,1,0
Oklahoma St.,Big 12,71.26315789473684,63.36363636363637,68.36666666666666,64.63157894736842,67.45454545454545,65.66666666666667,6.631578947368421,-4.090909090909091,2.7,0.631578947368421,0.2727272727272727,0.5,30,0
